BÁO CÁO TÀI CHÍNH HỢP NHẤT — CÔNG TY CỔ PHẦN MẪU,,,,,
Đơn vị tính: triệu đồng,,,,,
Ticker,Sector,Mã số,Chỉ tiêu,Năm 2024,Năm 2023
CORP_MESSY,Hàng tiêu dùng,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,900000,792000
CORP_MESSY,Hàng tiêu dùng,11,Giá vốn hàng bán,630000,554400
CORP_MESSY,Hàng tiêu dùng,20,Lợi nhuận gộp,270000,237600
CORP_MESSY,Hàng tiêu dùng,50,Tổng lợi nhuận kế toán trước thuế,150000,132000
CORP_MESSY,Hàng tiêu dùng,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,30000,26400
CORP_MESSY,Hàng tiêu dùng,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,120000,105600
CORP_MESSY,Hàng tiêu dùng,100,TÀI SẢN NGẮN HẠN,420000,369600
CORP_MESSY,Hàng tiêu dùng,110,Tiền và các khoản tương đương tiền,80 tỷ,70400
CORP_MESSY,Hàng tiêu dùng,140,Hàng tồn kho,120000,105600
CORP_MESSY,Hàng tiêu dùng,200,TÀI SẢN DÀI HẠN,580000,510400
CORP_MESSY,Hàng tiêu dùng,210,Tài sản cố định,410000,360800
CORP_MESSY,Hàng tiêu dùng,270,TỔNG CỘNG TÀI SẢN,1000000,880000
CORP_MESSY,Hàng tiêu dùng,300,NỢ PHẢI TRẢ,400000,352000
CORP_MESSY,Hàng tiêu dùng,310,Nợ ngắn hạn,250000,220000
CORP_MESSY,Hàng tiêu dùng,320,Nợ dài hạn,150000,132000
CORP_MESSY,Hàng tiêu dùng,400,VỐN CHỦ SỞ HỮU,600000,528000
CORP_MESSY,Hàng tiêu dùng,440,TỔNG CỘNG NGUỒN VỐN,1000000,880000
CORP_MESSY,Hàng tiêu dùng,01,Doanh thu bán hàng và cung cấp dịch vụ,950000,836000
CORP_MESSY,Hàng tiêu dùng,02,Các khoản giảm trừ doanh thu,−50000,44000
