question_id,component,year,document_id,source_line_1,row_index,column_index,raw_value,review_note
656,a,2024,FOX_financial_statements_2024_consolidated,792,3,1,330.107.269.336,Các khoản tương đương tiền cuối 2024
656,b,2024,FOX_financial_statements_2024_consolidated,188,39,3,23.768.325.325.642,Tổng tài sản cuối 2024
657,a,2020,FOX_financial_statements_2020_separate,299,18,4,1.503.239.050.754,Lợi nhuận sau thuế công ty mẹ năm 2020
657,b,2020,FOX_financial_statements_2020_separate,858,5,1,273.616.446,Số cổ phiếu đang lưu hành cuối 2020
658,a,2024,PLX_financial_statements_2024_consolidated,216,9,3,528.005.384.335,Phần lãi trong công ty liên doanh liên kết năm 2024
658,b,2024,PLX_financial_statements_2024_consolidated,216,19,3,3.161.151.940.515,Lợi nhuận sau thuế hợp nhất năm 2024
659,a,2024,MML_financial_statements_2024_consolidated,367,7,2,(33.516.000),Tiền trả cổ tức năm 2024
659,b,2024,MML_financial_statements_2024_consolidated,303,19,3,25.346.456.196,Lợi nhuận sau thuế hợp nhất năm 2024
660,a,2022,CTG_financial_statements_2022_separate,1609,2,1,159.575.895,Nghĩa vụ tiềm ẩn cuối 2022 triệu VND
660,b,2022,CTG_financial_statements_2022_separate,1609,6,1,310.604.986,Các cam kết đưa ra cuối 2022 triệu VND
660,c,2022,CTG_financial_statements_2022_separate,326,34,3,1.793.240.351,Tổng tài sản công ty mẹ cuối 2022 triệu VND
661,a,2021,DNH_financial_statements_2021_separate,227,2,3,(133.953.599.311),Tiền chi mua sắm xây dựng tài sản cố định năm 2021
661,b,2021,DNH_financial_statements_2021_separate,777,6,6,14.814.242.649.760,Tổng nguyên giá tài sản cố định hữu hình cuối 2021
662,a,2016,CEO_financial_statements_2016_consolidated,269,19,3,229.967.971.147,Lợi nhuận sau thuế hợp nhất năm 2016
662,b,2016,CEO_financial_statements_2016_consolidated,199,46,3,3.834.549.199.250,Tổng tài sản hợp nhất cuối 2016
663,a,2022,HAG_financial_statements_2022_separate,1112,2,1,1.958.725.949,Vay ngắn hạn cuối 2022 ngàn VND
663,b,2022,HAG_financial_statements_2022_separate,1112,4,1,3.581.600.405,Vay dài hạn cuối 2022 ngàn VND
663,c,2022,HAG_financial_statements_2022_separate,298,42,3,15.071.487.424,Tổng tài sản công ty mẹ cuối 2022 ngàn VND
664,a,2024,QNS_financial_statements_2024_consolidated,272,27,3,(5.946.334.636.629),Giá trị hao mòn lũy kế tài sản cố định hữu hình cuối 2024
664,b,2024,QNS_financial_statements_2024_consolidated,272,26,3,9.380.758.826.546,Tổng nguyên giá tài sản cố định hữu hình cuối 2024
665,a,2016,NVL_financial_statements_2016_consolidated,170,10,3,28.642.968.853,Tài sản cố định vô hình cuối 2016
665,b,2016,NVL_financial_statements_2016_consolidated,170,26,3,36.527.075.713.997,Tổng tài sản hợp nhất cuối 2016
666,a,2015,KBC_financial_statements_2015_separate,268,6,3,313.825.269.273,Doanh thu hoạt động tài chính công ty mẹ năm 2015
666,b,2015,KBC_financial_statements_2015_separate,1359,10,1,42.828.996.818,Tổng chi phí tài chính công ty mẹ năm 2015
667,a,2023,EIB_financial_statements_2023_separate,319,19,3,2.506.132,Nguyên giá tài sản cố định hữu hình cuối 2023 triệu VND
667,b,2023,EIB_financial_statements_2023_separate,319,30,3,201.672.702,Tổng tài sản công ty mẹ cuối 2023 triệu VND
668,a,2023,HHS_financial_statements_2023_separate,1237,3,1,318.822.993.407,Cổ tức và lợi nhuận được chia năm 2023
668,b,2023,HHS_financial_statements_2023_separate,901,8,1,3.423.739.097.286,Tổng giá gốc đầu tư góp vốn cuối 2023
669,a,2019,GVR_financial_statements_2019_consolidated,289,4,3,943.012.378.938,Phải trả người bán ngắn hạn cuối 2019
669,b,2019,GVR_financial_statements_2019_consolidated,289,3,3,9.728.620.026.216,Tổng nợ ngắn hạn cuối 2019
670,a,2020,BAF_financial_statements_2020_separate,1300,5,3,1.844.322.869.189,Vay ngắn hạn ngân hàng đầu năm 2020
670,b,2020,BAF_financial_statements_2020_separate,1665,14,2,6.205.563.021.783,Tổng nợ phải trả tài chính đầu năm 2020
671,a,2020,MBB_financial_statements_2020_consolidated,409,17,2,(6.118.440),Chi phí dự phòng rủi ro tín dụng hợp nhất năm 2020 triệu VND
671,b,2020,MBB_financial_statements_2020_consolidated,409,18,2,10.688.276,Lợi nhuận trước thuế hợp nhất năm 2020 triệu VND
672,a,2022,MBS_financial_statements_2022,213,23,3,14.317.396.673,Chi phí trả trước ngắn hạn cuối 2022
672,b,2022,MBS_financial_statements_2022,226,14,3,82.608.405.477,Chi phí trả trước dài hạn cuối 2022
673,a,2025,SCR_financial_statements_2025_separate,248,1,3,4.340.015.118.010,Tổng tài sản ngắn hạn công ty mẹ cuối 2025
