question_id,component,part,year,document_id,source_line_1,row_index,column_index,raw_value,review_note
578,earlier,1,2022,BAF_financial_statements_2022_separate,242,11,3,25.699.870.125,Tổng trả trước cho người bán ngắn hạn trên bảng cân đối riêng cuối 2022
578,later,1,2025,BAF_financial_statements_2025_separate,240,8,3,358.968.990.702,Tổng trả trước cho người bán ngắn hạn trên bảng cân đối riêng cuối 2025
579,earlier,1,2016,IJC_financial_statements_2016_separate,1484,1,1,2.262.694.070,Lãi tiền gửi có kỳ hạn năm 2016
579,later,1,2021,IJC_financial_statements_2021_separate,1690,1,1,6.046.821.980,Lãi tiền gửi có kỳ hạn năm 2021
580,earlier,1,2015,HBC_financial_statements_2015_consolidated,1417,3,1,322.960.454,Chi phí thu nhập thuế hoãn lại năm 2015 trong thuyết minh thuế
580,later,1,2016,HBC_financial_statements_2016_consolidated,1544,3,1,48.277.443.972,Chi phí thuế TNDN hoãn lại năm 2016 trong thuyết minh thuế
581,earlier,1,2015,DBC_financial_statements_2015_consolidated,918,17,5,898.255.375.494,Tổng giá trị còn lại TSCĐ hữu hình cuối 2015
581,later,1,2019,DBC_financial_statements_2019_consolidated,1026,20,5,3.952.077.043.860,Tổng giá trị còn lại TSCĐ hữu hình cuối 2019
582,earlier,1,2021,MCH_financial_statements_2021_consolidated,1333,2,5,7.030.093.844.618,Vay ngắn hạn cuối 2021 không gồm vay dài hạn đến hạn trả
582,later,1,2023,MCH_financial_statements_2023_consolidated,1300,2,5,7.876.996.625.723,Vay ngắn hạn cuối 2023 không gồm vay dài hạn đến hạn trả
583,earlier,1,2020,OCB_financial_statements_2020_separate,337,27,2,272.634.256.087,Giá trị còn lại TSCĐ vô hình trên bảng cân đối riêng cuối 2020
583,later,1,2022,OCB_financial_statements_2022_separate_1,245,26,2,304.284.322.829,Giá trị còn lại TSCĐ vô hình trên bảng cân đối riêng cuối 2022
584,earlier,1,2024,AAA_financial_statements_2024_consolidated,240,18,3,6.236.273.953.200,Tổng vốn chủ sở hữu hợp nhất cuối 2024
584,later,1,2025,AAA_financial_statements_2025_consolidated,279,18,3,6.079.230.359.763,Tổng vốn chủ sở hữu hợp nhất cuối 2025
585,earlier,1,2016,STB_financial_statements_2016_separate,1653,2,1,22.743,Quỹ khen thưởng phúc lợi phải trả cuối 2016 đơn vị triệu đồng
585,later,1,2022,STB_financial_statements_2022_separate,1791,3,1,1.550.540,Quỹ khen thưởng phúc lợi phải trả cuối 2022 đơn vị triệu đồng
586,earlier,1,2021,ACV_financial_statements_2021_consolidated,219,2,3,572.833.249.811,Tổng tiền và các khoản tương đương tiền hợp nhất cuối 2021
586,later,1,2022,ACV_financial_statements_2022_consolidated,212,2,3,2.496.515.921.711,Tổng tiền và các khoản tương đương tiền hợp nhất cuối 2022
587,earlier,1,2016,STB_financial_statements_2016_consolidated,1876,2,1,8.954.312,Tiền gửi tại NHNN bằng VND cuối 2016 đơn vị triệu đồng
587,later,1,2022,STB_financial_statements_2022_consolidated,185,3,2,12.286.117,Tiền gửi tại NHNN Việt Nam cuối 2022 đơn vị triệu đồng
588,earlier,1,2019,SAB_financial_statements_2019_separate,913,2,1,139.368.231.654,Phải thu Beer Sài Gòn Trading cuối 2019
588,earlier,2,2019,SAB_financial_statements_2019_separate,913,3,1,7.974.218.490,Phải thu Bia Sài Gòn Hà Tĩnh cuối 2019
588,earlier,3,2019,SAB_financial_statements_2019_separate,913,4,1,2.298.800.000,Phải thu Bia Sài Gòn Nghệ Tĩnh cuối 2019
588,earlier,4,2019,SAB_financial_statements_2019_separate,913,5,1,29.700.000,Phải thu Thương mại Bia Sài Gòn Nam Trung Bộ cuối 2019
588,earlier,5,2019,SAB_financial_statements_2019_separate,913,6,1,9.225.945,Phải thu Cơ khí Sa Be Co cuối 2019
588,earlier,6,2019,SAB_financial_statements_2019_separate,913,7,1,4.744.400,Phải thu Thương mại Bia Sài Gòn Đông Bắc cuối 2019
588,earlier,7,2019,SAB_financial_statements_2019_separate,913,11,1,277.230.733.543,Phải thu Đầu tư Thương mại Tân Thành cuối 2019
588,earlier,8,2019,SAB_financial_statements_2019_separate,913,12,1,33.660.770.500,Phải thu Bia Sài Gòn Miền Trung cuối 2019
588,earlier,9,2019,SAB_financial_statements_2019_separate,913,13,1,8.141.000.000,Phải thu Bao bì San Miguel Yamamura Phú Thọ cuối 2019
588,earlier,10,2019,SAB_financial_statements_2019_separate,913,14,1,4.500.000.000,Phải thu Bia Sài Gòn Vĩnh Long cuối 2019
588,earlier,11,2019,SAB_financial_statements_2019_separate,913,15,1,83.916.000,Phải thu Bia Sài Gòn Khánh Hòa cuối 2019
588,later,1,2023,SAB_financial_statements_2023_separate,1112,2,1,49.197.000,Phải thu BeerCo Limited cuối 2023
588,later,2,2023,SAB_financial_statements_2023_separate,1112,4,1,83.899.348.477,Phải thu Beer Sài Gòn Trading cuối 2023
588,later,3,2023,SAB_financial_statements_2023_separate,1112,5,1,76.430.448.702,Phải thu Tập đoàn Bia Sài Gòn cuối 2023
588,later,4,2023,SAB_financial_statements_2023_separate,1112,6,1,9.654.224.262,Phải thu Bia Sài Gòn Hà Nội cuối 2023
588,later,5,2023,SAB_financial_statements_2023_separate,1112,7,1,3.680.497.324,Phải thu Nước Giải Khát Chương Dương cuối 2023
588,later,6,2023,SAB_financial_statements_2023_separate,1112,8,1,3.598.810.351,Phải thu Bia Sài Gòn Hà Tĩnh cuối 2023
588,later,7,2023,SAB_financial_statements_2023_separate,1112,9,1,3.000.000.000,Phải thu Rượu Bình Tây cuối 2023
588,later,8,2023,SAB_financial_statements_2023_separate,1112,10,1,1.141.524.390,Phải thu Cơ khí Sa Be Co cuối 2023
588,later,9,2023,SAB_financial_statements_2023_separate,1112,11,1,631.706.174,Phải thu Bia Sài Gòn Quảng Ngãi cuối 2023
588,later,10,2023,SAB_financial_statements_2023_separate,1112,12,1,614.266.974,Phải thu Bia Sài Gòn Lâm Đồng cuối 2023
588,later,11,2023,SAB_financial_statements_2023_separate,1112,13,1,334.060.169,Phải thu Bia Sài Gòn Sông Lam cuối 2023
588,later,12,2023,SAB_financial_statements_2023_separate,1112,14,1,312.960.056,Phải thu Bia Sài Gòn Sóc Trăng cuối 2023
588,later,13,2023,SAB_financial_statements_2023_separate,1112,15,1,234.267.991,Phải thu Bia Sài Gòn Nghệ Tĩnh cuối 2023
588,later,14,2023,SAB_financial_statements_2023_separate,1112,16,1,196.942.081,Phải thu Bia Sài Gòn Miền Tây cuối 2023
588,later,15,2023,SAB_financial_statements_2023_separate,1112,17,1,118.528.934,Phải thu Bia Rượu Sài Gòn Đồng Xuân cuối 2023
588,later,16,2023,SAB_financial_statements_2023_separate,1112,19,1,277.230.733.543,Phải thu Đầu tư Thương mại Tân Thành cuối 2023
588,later,17,2023,SAB_financial_statements_2023_separate,1112,20,1,64.200.000.000,Phải thu Thủy tinh Malaya Việt Nam cuối 2023
588,later,18,2023,SAB_financial_statements_2023_separate,1112,21,1,43.802.647.026,Phải thu Trung Tâm Mê Linh cuối 2023
588,later,19,2023,SAB_financial_statements_2023_separate,1112,22,1,6.971.692.050,Phải thu Sản xuất Rượu và Cồn Việt Nam cuối 2023
588,later,20,2023,SAB_financial_statements_2023_separate,1112,23,1,2.021.512.801,Phải thu Bia Sài Gòn Vĩnh Long cuối 2023
588,later,21,2023,SAB_financial_statements_2023_separate,1112,24,1,1.628.963.161,Phải thu Bia Nước Giải Khát Sài Gòn Tây Đô cuối 2023
588,later,22,2023,SAB_financial_statements_2023_separate,1112,25,1,634.992.585,Phải thu Tập đoàn Bia Sài Gòn Bình Tây cuối 2023
588,later,23,2023,SAB_financial_statements_2023_separate,1112,26,1,412.007.664,Phải thu Bia Sài Gòn Miền Trung cuối 2023
588,later,24,2023,SAB_financial_statements_2023_separate,1112,27,1,380.140.249,Phải thu Bia Sài Gòn Kiên Giang cuối 2023
588,later,25,2023,SAB_financial_statements_2023_separate,1112,28,1,223.638.844,Phải thu Bia Sài Gòn Khánh Hòa cuối 2023
588,later,26,2023,SAB_financial_statements_2023_separate,1112,29,1,172.648.858,Phải thu Bia Sài Gòn Phú Thọ cuối 2023
588,later,27,2023,SAB_financial_statements_2023_separate,1112,30,1,168.938.232,Phải thu Bia Sài Gòn Bạc Liêu cuối 2023
588,later,28,2023,SAB_financial_statements_2023_separate,1112,31,1,166.210.711,Phải thu Bia Sài Gòn Bến Tre cuối 2023
589,earlier,1,2016,NLG_financial_statements_2016_separate,1155,11,1,48.735.590.598,Tổng chi phí thuế TNDN năm 2016
589,later,1,2019,NLG_financial_statements_2019_separate,1169,8,1,51.423.998.759,Tổng chi phí thuế TNDN năm 2019
590,earlier,1,2021,HHV_financial_statements_2021_consolidated,2040,1,2,100.000.000.000,Hạn mức vay ngắn hạn VietinBank hợp đồng thứ nhất
590,earlier,2,2021,HHV_financial_statements_2021_consolidated,2040,2,2,80.000.000.000,Hạn mức vay ngắn hạn VietinBank hợp đồng thứ hai
590,earlier,3,2021,HHV_financial_statements_2021_consolidated,2040,3,2,300.000.000.000,Hạn mức vay ngắn hạn TPBank
590,earlier,4,2021,HHV_financial_statements_2021_consolidated,2040,4,2,2.600.000.000,Số tiền vay ngắn hạn BOT Hưng Phát
590,earlier,5,2021,HHV_financial_statements_2021_consolidated,2040,5,2,400.000.000.000,Hạn mức vay ngắn hạn Tập đoàn Đèo Cả
590,earlier,6,2021,HHV_financial_statements_2021_consolidated,2040,6,2,202.000.000.000,Số tiền vay ngắn hạn Hải Thạch BOT
590,later,1,2025,HHV_financial_statements_2025_consolidated,2559,1,2,200.000.000.000,Hạn mức vay ngắn hạn VietinBank hợp đồng thứ nhất
590,later,2,2025,HHV_financial_statements_2025_consolidated,2559,2,2,100.000.000.000,Hạn mức vay ngắn hạn VietinBank hợp đồng thứ hai
590,later,3,2025,HHV_financial_statements_2025_consolidated,2559,3,2,800.000.000.000,Hạn mức vay ngắn hạn TPBank
590,later,4,2025,HHV_financial_statements_2025_consolidated,2559,4,2,1.000.000.000.000,Hạn mức vay ngắn hạn VPBank
591,earlier,1,2021,SSB_financial_statements_2021_consolidated,3450,3,1,124.756.129,Cho vay khách hàng gộp chưa quá hạn và chưa phải lập dự phòng cuối 2021
591,later,1,2022,SSB_financial_statements_2022_consolidated,2198,3,1,150.235.160,Cho vay khách hàng gộp chưa quá hạn và chưa phải lập dự phòng cuối 2022
592,earlier,1,2022,BID_financial_statements_2022_consolidated,269,14,3,(38.225.891),Tổng dự phòng rủi ro cho vay khách hàng cuối 2022 đơn vị triệu đồng
592,later,1,2024,BID_financial_statements_2024_consolidated,298,14,3,(38.038.771),Tổng dự phòng rủi ro cho vay khách hàng cuối 2024 đơn vị triệu đồng
593,earlier,1,2021,VIF_financial_statements_2021_consolidated,1629,5,1,2.831.078.040,Lãi chênh lệch tỷ giá năm 2021
593,later,1,2023,VIF_financial_statements_2023_consolidated,1529,5,1,3.633.257.700,Lãi chênh lệch tỷ giá năm 2023
594,earlier,1,2022,GEE_financial_statements_2022_consolidated,1214,3,2,5.159.200.000,Giá trị hợp lý khoản đầu tư Vietcombank cuối 2022
594,later,1,2025,GEE_financial_statements_2025_consolidated,1357,2,2,6.547.065.000,Giá trị hợp lý khoản đầu tư Vietcombank cuối 2025
595,earlier,1,2021,DXS_financial_statements_2021_consolidated,332,4,3,64.551.795.353,Tổng phải thu dài hạn khác cuối 2021
595,later,1,2022,DXS_financial_statements_2022_consolidated,331,4,3,94.043.971.835,Tổng phải thu dài hạn khác cuối 2022
596,earlier,1,2017,VNM_financial_statements_2017_separate,1055,4,2,8.100.000.000,Giá gốc đầu tư vào APIS cuối 2017
596,later,1,2024,VNM_financial_statements_2024_separate,1064,4,2,20.350.000.000,Giá gốc đầu tư vào APIS cuối 2024
597,earlier,1,2021,NVB_financial_statements_2021_consolidated,1197,3,1,1.558.455,Lãi và phí phải trả cuối 2021 đơn vị triệu đồng
597,later,1,2022,NVB_financial_statements_2022_consolidated,1330,3,1,1.531.335,Lãi và phí phải trả cuối 2022 đơn vị triệu đồng
598,earlier,1,2020,HNG_financial_statements_2020_separate,1214,13,3,578.819.180,Tổng phải trả người bán ngắn hạn với bên liên quan cuối 2020 đơn vị ngàn VND
598,later,1,2021,HNG_financial_statements_2021_separate,1226,15,3,25.682.255,Tổng phải trả người bán ngắn hạn với bên liên quan cuối 2021 đơn vị ngàn VND
599,earlier,1,2022,FTS_financial_statements_2022,1550,4,2,53.775.388.537,Chi phí khác năm 2022 không gồm ba khoản liệt kê riêng
599,later,1,2023,FTS_financial_statements_2023,1440,4,2,45.869.981.490,Chi phí khác năm 2023 không gồm ba khoản liệt kê riêng
600,earlier,1,2023,FPT_financial_statements_2023_consolidated,1323,2,1,148.154.785.305,Lãi vay phải trả cuối 2023
600,later,1,2025,FPT_financial_statements_2025_consolidated,1472,2,1,85.922.281.593,Lãi vay phải trả cuối 2025
601,earlier,1,2016,KBC_financial_statements_2016_separate,1035,6,1,4.470.193.703,Chi phí lãi vay phải trả ngắn hạn cuối 2016
601,later,1,2019,KBC_financial_statements_2019_separate,1147,7,1,849.420.772.627,Chi phí lãi vay phải trả ngắn hạn cuối 2019
602,earlier,1,2018,HDB_financial_statements_2018_consolidated,1253,1,1,1.001.753,Chứng khoán kinh doanh đã niêm yết cuối 2018 đơn vị triệu đồng
